Std.1 Kick1 ,[88]Std 1 Kick 1,,,,,,,Std.1 Kick1 ,Elec Kick 2 ,Elec Kick 2 ,Elec.K2 ,,Elec Kick 2 ,,,[88]Std 1 Kick 1,,,,,,,,[88]Elec Kick 2,[88]Elec Kick 2,Elec Kick 2 ,[88]Elec Kick 2,[88]Elec Kick 2,[88]Elec Kick 2,[88]Elec Kick 2,,Std.1 Kick1 ,,,,,,,,[88]Std 1 Kick 1,Std.1 Kick1 ,,,,,,,[88]Std 1 Kick 1,,,,,,,,,,,,,,
Std.1 Kick2 ,[88]Std 1 Kick 2,,,,,,,Std.1 Kick2 ,Elec Kick 1 ,Elec Kick 1 ,Elec.K1 ,,Elec Kick 1 ,,,[88]Std 1 Kick 2,,,,,,,,[88]Elec Kick 1,[88]Elec Kick 1,Elec Kick 1 ,[88]Elec Kick 1,[88]Elec Kick 1,[88]Elec Kick 1,[88]Elec Kick 1,,Std.1 Kick2 ,,,,,,,,[88]Std 1 Kick 2,Std.1 Kick2 ,,,,,,,[88]Std 1 Kick 2,,,,,,,,,,,,,,
Std.2 Kick1 ,[88]Std 2 Kick 1,,,,,,,Std.2 Kick1 ,CR78 BD 1   ,CR78 BD 1   ,CR-78K1 ,,CR78 BD 1   ,,,[88]Std 2 Kick 1,,,,,,,,CR-78 Kick 1,CR-78 Kick 1,CR78 BD 1   ,CR-78 Kick 1,CR-78 Kick 1,CR-78 Kick 1,CR-78 Kick 1,,Std.2 Kick1 ,,,,,,,,[88]Std 2 Kick 1,Std.2 Kick1 ,,,,,,,[88]Std 2 Kick 1,,,,,,,,,,,,,,
Std2 Kick2  ,[88]Std 2 Kick 2,,,,,,,Std2 Kick2  ,CR78 BD 2   ,CR78 BD 2   ,CR-78K2 ,,CR78 BD 2   ,,,[88]Std 2 Kick 2,,,,,,,,CR-78 Kick 2,CR-78 Kick 2,CR78 BD 2   ,CR-78 Kick 2,CR-78 Kick 2,CR-78 Kick 2,CR-78 Kick 2,,Std2 Kick2  ,,,,,,,,[88]Std 2 Kick 2,Std2 Kick2  ,,,,,,,[88]Std 2 Kick 2,,,,,,,,,,,,,,
Kick 1      ,[55]Kick Drum 1,,,,,,,Kick 1      ,TR-606 BD1  ,TR-606 BD1  ,606 K1  ,,TR-606 BD1  ,,,[55]Kick Drum 1,,,,,,,,TR-606 Kick1,TR-606 Kick1,TR-606 BD1  ,TR-606 Kick1,TR-606 Kick1,TR-606 Kick1,TR-606 Kick1,,Kick 1      ,,,,,,,,[55]Kick Drum 1,Kick 1      ,,,,,,,[55]Kick Drum 1,,,,,,,,,,,,,,
Kick 2      ,[55]Kick Drum 2,,,,,,,Kick 2      ,TR-707 BD   ,TR-707 BD   ,707 K1  ,,TR-707 BD   ,,,[55]Kick Drum 2,,,,,,,,TR-707 Kick 1,TR-707 Kick 1,TR-707 BD   ,TR-707 Kick 1,TR-707 Kick 1,TR-707 Kick 1,TR-707 Kick 1,,Kick 2      ,,,,,,,,[55]Kick Drum 2,Kick 2      ,,,,,,,[55]Kick Drum 2,,,,,,,,,,,,,,
Jazz Kick 1 ,[88]Jazz Kick 1,,,,,,,Jazz Kick 1 ,808 Kick    ,808 Kick    ,808 BD  ,,808 Kick    ,,,[88]Jazz Kick 1,,,,,,,,[55]TR-808 Kick,[55]TR-808 Kick,808 Kick    ,[55]TR-808 Kick,[55]TR-808 Kick,[55]TR-808 Kick,[55]TR-808 Kick,,Jazz Kick 1 ,,,,,,,,[88]Jazz Kick 1,Jazz Kick 1 ,,,,,,,[88]Jazz Kick 1,,,,,,,,,,,,,,
Jazz Kick 2 ,[88]Jazz Kick 2,,,,,,,Jazz Kick 2 ,TR-808 Kick ,TR-808 Kick ,808 BD  ,,TR-808 Kick ,,,[88]Jazz Kick 2,,,,,,,,[88]TR-808 Kick,[88]TR-808 Kick,TR-808 Kick ,[88]TR-808 Kick,[88]TR-808 Kick,[88]TR-808 Kick,[88]TR-808 Kick,,Jazz Kick 2 ,,,,,,,,[88]Jazz Kick 2,Jazz Kick 2 ,,,,,,,[88]Jazz Kick 2,,,,,,,,,,,,,,
Room Kick 1 ,[88]Room Kick 1,,,,,,,Room Kick 1 ,808 BD      ,808 BD      ,808 K2  ,,808 BD      ,,,[88]Room Kick 1,,,,,,,,TR-808 Kick 2,TR-808 Kick 2,808 BD      ,TR-808 Kick 2,TR-808 Kick 2,TR-808 Kick 2,TR-808 Kick 2,,Room Kick 1 ,,,,,,,,[88]Room Kick 1,Room Kick 1 ,,,,,,,[88]Room Kick 1,,,,,,,,,,,,,,
Room Kick 2 ,[88]Room Kick 2,,,,,,,Room Kick 2 ,TR-909 Kick ,TR-909 Kick ,909 BD  ,,TR-909 Kick ,,,[88]Room Kick 2,,,,,,,,[88]TR-909 Kick,[88]TR-909 Kick,TR-909 Kick ,[88]TR-909 Kick,[88]TR-909 Kick,[88]TR-909 Kick,[88]TR-909 Kick,,Room Kick 2 ,,,,,,,,[88]Room Kick 2,Room Kick 2 ,,,,,,,[88]Room Kick 2,,,,,,,,,,,,,,
Power Kick1 ,[88]Power Kick 1,,,,,,,Power Kick1 ,Dance Kick 2,Dance Kick 2,Dance K ,,Dance Kick 2,,,[88]Power Kick 1,,,,,,,,[88]Dance Kick,[88]Dance Kick,Dance Kick 2,[88]Dance Kick,[88]Dance Kick,[88]Dance Kick,[88]Dance Kick,,Power Kick1 ,,,,,,,,[88]Power Kick 1,Power Kick1 ,,,,,,,[88]Power Kick 1,,,,,,,,,,,,,,
Power Kick2 ,[88]Power Kick 2,,,,,,,Power Kick2 ,909 Comp BD ,909 Comp BD ,HipHopK2,,909 Comp BD ,,,[88]Power Kick 2,,,,,,,,Hip-Hop Kick 2,Hip-Hop Kick 2,909 Comp BD ,Hip-Hop Kick 2,Hip-Hop Kick 2,Hip-Hop Kick 2,Hip-Hop Kick 2,,Power Kick2 ,,,,,,,,[88]Power Kick 2,Power Kick2 ,,,,,,,[88]Power Kick 2,,,,,,,,,,,,,,
Elec Kick 2 ,[88]Elec Kick 2,,,,,,,Elec Kick 2 ,TR-909 BD2  ,TR-909 BD2  ,909 K1  ,,TR-909 BD2  ,,,[88]Elec Kick 2,,,,,,,,TR-909 Kick 1,TR-909 Kick 1,TR-909 BD2  ,TR-909 Kick 1,TR-909 Kick 1,TR-909 Kick 1,TR-909 Kick 1,,Elec Kick 2 ,,,,,,,,[88]Elec Kick 2,Elec Kick 2 ,,,,,,,[88]Elec Kick 2,,,,,,,,,,,,,,
Elec Kick 1 ,[88]Elec Kick 1,,,,,,,Elec Kick 1 ,HipHop BD2  ,HipHop BD2  ,HipHopK3,,HipHop BD2  ,,,[88]Elec Kick 1,,,,,,,,Hip-Hop Kick 3,Hip-Hop Kick 3,HipHop BD2  ,Hip-Hop Kick 3,Hip-Hop Kick 3,Hip-Hop Kick 3,Hip-Hop Kick 3,,Elec Kick 1 ,,,,,,,,[88]Elec Kick 1,Elec Kick 1 ,,,,,,,[88]Elec Kick 1,,,,,,,,,,,,,,
TR-808 Kick ,[88]TR-808 Kick,,,,,,,TR-808 Kick ,JungleBD Set,JungleBD Set,JungleK1,,JungleBD Set,,,[88]TR-808 Kick,,,,,,,,Jungle Kick 1,Jungle Kick 1,JungleBD Set,Jungle Kick 1,Jungle Kick 1,Jungle Kick 1,Jungle Kick 1,,TR-808 Kick ,,,,,,,,[88]TR-808 Kick,TR-808 Kick ,,,,,,,[88]TR-808 Kick,,,,,,,,,,,,,,
TR-909 Kick ,[88]TR-909 Kick,,,,,,,TR-909 Kick ,Techno BD1  ,Techno BD1  ,TechnoK1,,Techno BD1  ,,,[88]TR-909 Kick,,,,,,,,Techno Kick 1,Techno Kick 1,Techno BD1  ,Techno Kick 1,Techno Kick 1,Techno Kick 1,Techno Kick 1,,TR-909 Kick ,,,,,,,,[88]TR-909 Kick,TR-909 Kick ,,,,,,,[88]TR-909 Kick,,,,,,,,,,,,,,
Dance Kick 2,[88]Dance Kick,,,,,,,Dance Kick 2,Bounce      ,Bounce      ,Bounce K,,Bounce      ,,,[88]Dance Kick,,,,,,,,Bounce Kick,Bounce Kick,Bounce      ,Bounce Kick,Bounce Kick,Bounce Kick,Bounce Kick,,Dance Kick 2,,,,,,,,[88]Dance Kick,Dance Kick 2,,,,,,,[88]Dance Kick,,,,,,,,,,,,,,
Voice One,Voice One,Voice One,,,,,,Voice One,Voice One,Voice One,,,Voice One,,,Voice One,,,,,,,,Voice One,Voice One,Voice One,Voice One,Voice One,Voice One,Voice One,,Voice One,Voice One,,,,,,,Voice One,Voice One,Voice One,,,,,,Voice One,,,,,,,,,,,R Bs Mute NZ,,,
Voice Two,Voice Two,Voice Two,,,,,,Voice Two,Voice Two,Voice Two,,,Voice Two,,,Voice Two,,,,,,,,Voice Two,Voice Two,Voice Two,Voice Two,Voice Two,Voice Two,Voice Two,,Voice Two,Voice Two,,,,,,,Voice Two,Voice Two,Voice Two,,,,,,Voice Two,,,,,,,,,,,R Bs StQuail,,,
Voice Three,Voice Three,Voice Three,,,,,,Voice Three,Voice Three,Voice Three,,,Voice Three,,,Voice Three,,,,,,,,Voice Three,Voice Three,Voice Three,Voice Three,Voice Three,Voice Three,Voice Three,,Voice Three,Voice Three,,,,,,,Voice Three,Voice Three,Voice Three,,,,,,Voice Three,,,,,,,,,,,R Bs Atk NZ ,,,
85Rm BsDrum1,,,,,,,,85St BsDrum1,Jngl BD     ,HipHop BD 2 ,909 BD1     ,,Fat BD      ,,,,,,,,,,,,,909 BD      ,,,,,,85Br BsDrum1,,,,,,,,,85Jz BsDrum1,,,,,,,,,,,,,,,,,,R ClnGtCutUp ,,,
85Rm BsDrum2,,,,,,,,85St BsDrum2,Jngl BD 2   ,HipHop BD   ,Fat BD,,Dance BD,,,,,,,,,,,,,909 BD 2    ,,,,,,85Br BsDrum2,,,,,,,,,85Jz BsDrum2,,,,,,,,,,,,,,,MC-500 Beep 1,,,R ClnGtCutDn ,,,
MC-500 Beep,MC-500 Beep 1,MC-500 Beep,,,,,,MC-500 Beep,MC-500 Beep,MC-500 Beep,,,MC-500 Beep,,,MC-500 Beep 1,,,,,,,,MC-500 Beep 1,MC-500 Beep 1,MC-500 Beep,MC-500 Beep 1,MC-500 Beep 1,MC-500 Beep 1,MC-500 Beep 1,,MC-500 Beep,MC-500 Beep,,,,,,,MC-500 Beep 1,MC-500 Beep,MC-500 Beep,,,,,,MC-500 Beep 1,,,,,,,,MC-500 Beep 2,,,R ClnGtrMtUp,,,
MC-500 Beep,MC-500 Beep 2,MC-500 Beep,,,,,,MC-500 Beep,MC-500 Beep,MC-500 Beep,,,MC-500 Beep,,,MC-500 Beep 2,,,,,,,,MC-500 Beep 2,MC-500 Beep 2,MC-500 Beep,MC-500 Beep 2,MC-500 Beep 2,MC-500 Beep 2,MC-500 Beep 2,,MC-500 Beep,MC-500 Beep,,,,,,,MC-500 Beep 2,MC-500 Beep,MC-500 Beep,,,,,,MC-500 Beep 2,,,,,,,,Guitar Slide,,,R ClnGtrMtDn,,,
Concert Snr,Concert SD,Concert Snr,,,,,,Concert Snr,Concert Snr,Concert Snr,,,Concert Snr,,,Concert SD,,,,,,,,Concert SD,Concert SD,Concert Snr,Concert SD,Concert SD,Concert SD,Concert SD,,Concert Snr,Concert Snr,,,,,,,Concert SD,Concert Snr,Concert Snr,,,,,,Concert SD,,,,,,,,Guitar Wah,,,R DstGtCutUp ,,,
Snare Roll  ,Snare Roll,Snare Roll  ,,,,,,Snare Roll  ,Snare Roll  ,Snare Roll  ,,,Snare Roll  ,,,Snare Roll,,,,,,,,Snare Roll,Snare Roll,Snare Roll  ,Snare Roll,Snare Roll,Snare Roll,Snare Roll,,Snare Roll  ,Snare Roll  ,,,,,,,Snare Roll,Snare Roll  ,Snare Roll  ,,,,,,Snare Roll,Finger Snap,CR-78 Kick 1,CR-78 K1,Gamelan Gong,,,,Guitar Slap,,,R DstGtr Dn ,,,
FingerSnaps2,Finger Snap,FingerSnaps2,,,,,,Finger Snap ,FingerSnaps2,FingerSnaps2,,FingSnap,FingerSnaps2,,,Finger Snap 2,,,,,,,,Finger Snap,Finger Snap 2,Finger Snap ,Finger Snap 2,Finger Snap 2,Finger Snap 2,Finger Snap 2,,Finger Snap ,Finger Snap ,,,,,,,Finger Snap,Finger Snap ,Finger Snap ,,,,,,Finger Snap,Tambourine,CR-78 Kick 2,CR-78 K2,Gamelan Gong,,,,Chord Stroke Down,,,R DstGtrSgdn,,,
High-Q      ,High Q,High-Q      ,,,,,,High-Q      ,High-Q      ,High-Q      ,,,High-Q      ,,,High Q,,,,,,,,High Q,High Q,High-Q      ,High Q,High Q,High Q,High Q,,High-Q      ,High-Q      ,,,,,,,High Q,High-Q      ,High-Q      ,,,,,,Closed Hi-Hat 2,Castanets,TR-606 Kick1,606 BD  ,Gamelan Gong,,,,Chord Stroke Up,,,R DstGtrMute,,,
Slap        ,Slap,Slap        ,,,,,,Slap        ,Slap        ,Slap        ,,,Slap        ,,,Slap,,,,,,,,Slap,Slap,Slap        ,Slap,Slap,Slap,Slap,,Slap        ,Slap        ,,,,,,,Slap,Slap        ,Slap        ,,,,,,Pedal Hi-Hat,Crash Cymbal 1,TR-707 Kick,707 BD  ,Gamelan Gong,,,,Biwa,,,R SlGtrSdNz1,,,
ScratchPush,Scratch Push,ScratchPush,,,,,,ScratchPush,Scrtch Push2,Scrtch Push2,Sc.Push2,,Scrtch Push2,,,Scratch Push,,,,,,,,Scratch Push 2,Scratch Push 2,Scrtch Push2,Scratch Push 2,Scratch Push 2,Scratch Push 2,Scratch Push 2,,ScratchPush,ScratchPush,,,,,,,Scratch Push,ScratchPush,ScratchPush,,,,,,Open Hi-Hat 2,Snare Roll,TR-808 Kick,808 K1  ,Gamelan Gong,,,,Phonograph Noise,,,R SlGtrSdNz2,,,
ScratchPull,Scratch Pull,ScratchPull,,,,,,ScratchPull,Scrtch Pull2,Scrtch Pull2,Sc.Pull2,,Scrtch Pull2,,,Scratch Pull,,,,,,,,Scratch Pull 2,Scratch Pull 2,Scrtch Pull2,Scratch Pull 2,Scratch Pull 2,Scratch Pull 2,Scratch Pull 2,,ScratchPull,ScratchPull,,,,,,,Scratch Pull,ScratchPull,ScratchPull,,,,,,Ride Cymbal 1,Concert SD,Hip-Hop Kick 2,909 K1  ,Gamelan Gong,,,,Tape Rewind,,,R SlGtrSdNz3,,,
Sticks      ,Sticks,Sticks      ,,,,,,Sticks      ,Sticks      ,Sticks      ,,,Sticks      ,,,Sticks,,,,,,,,Sticks,Sticks,Sticks      ,Sticks,Sticks,Sticks,Sticks,,Sticks      ,Sticks      ,,,,,,,Sticks,Sticks      ,Sticks      ,,,,,,Sticks,Concert Cymbal,TR-909 Kick 1,909 K2  ,Gamelan Gong,,,,Scratch Push 2,,,R SlGtrSdNz4,A.Bs.Mute Nz,,
SquareClick,Square Click,SquareClick,,,,,,SquareClick,SquareClick,SquareClick,,,SquareClick,,,Square Click,,,,,,,,Square Click,Square Click,SquareClick,Square Click,Square Click,Square Click,Square Click,,SquareClick,SquareClick,,,,,,,Square Click,SquareClick,SquareClick,,,,,,Square Click,Concert BD 1,Hip-Hop Kick 3,HipHopK2,Gamelan Gong,Reverse Open Hi-Hat,,,Scratch Pull 2,,,R SlGtrStkSD,A.Bs.TouchNz,,revS ClsHat 
Mtrnm.Click,Metronome Click,Mtrnm.Click,,,,,,Mtrnm.Click,Mtrnm.Click,Mtrnm.Click,,,Mtrnm.Click,,,Metronome Click,,,,,,,,Metronome Click,Metronome Click,Mtrnm.Click,Metronome Click,Metronome Click,Metronome Click,Metronome Click,,Mtrnm.Click,Mtrnm.Click,,,,,,,Metronome Click,Mtrnm.Click,Mtrnm.Click,,,,,,Metronome Click,Jingle Bell,Hip-Hop Kick 1,HipHopK1,Gamelan Gong,Reverse Closed Hi-Hat 1,,,Cutting Noise 2 Up,,,R SlGtrStkU1,A.Bs.AtackNz,,revR ClsHat 
Mtrnm. Bell ,Metronome Bell,Mtrnm. Bell ,,,,,,Mtrnm. Bell ,Mtrnm. Bell ,Mtrnm. Bell ,,,Mtrnm. Bell ,,,Metronome Bell,,,,,,,,Metronome Bell,Metronome Bell,Mtrnm. Bell ,Metronome Bell,Metronome Bell,Metronome Bell,Metronome Bell,,Mtrnm. Bell ,Mtrnm. Bell ,,,,,,,Metronome Bell,Mtrnm. Bell ,Mtrnm. Bell ,,,,,,Metronome Bell,Bell Tree,Jungle Kick 2,JungleK2,Gamelan Gong,Reverse Closed Hi-Hat 2,,,Cutting Noise 2 Down,,,R SlGtrStkD1,DstGT.MuteNz,,revJ ClsHat 
85St BsDrum1,Standard 2 Kick 2,85StBsDrum1B,,,,,,85Rm BsDrum1,HipHop BD 2 ,Jngl BD     ,808 BD      ,RND RmK2,909 BD      ,,,Power Kick 2,,,,,,,,Electric Kick 2,TR-808 Kick 2,Fat BD      ,CR-78 Kick 2,CR-78 Kick 2,TR-707 Kick 2,Techno Kick 2,,85Jz BsDrum1,85JzBsDrum1B,,,,,,,Jazz Kick 2,85Br BsDrum1,85BrBsDrum1B,,,,,,Jazz Kick 1,Bar Chimes,Jungle Kick 1,JungleK1,Gender      ,Jungle Hi-Hat,,,Distortion Guitar Cutti,,,R SlGtrStkU2,StlGt.SldNz1,,revB ClsHat 
85St BsDrum2,Standard 2 Kick 1,85StBsDrum2B,,,,,,85Rm BsDrum2,HipHop BD   ,Jngl BD 2   ,909 BD2    ,RND RmK1,909 BD 2    ,,,Power Kick 1,,,,,,,,Electric Kick 1,TR-808 Kick 1,Dance BD    ,CR-78 Kick 1,TR-606 Kick 1,TR-707 Kick 1,TR-909 Kick 1,,85Jz BsDrum2,85JzBsDrum2B,,,,,,,Jazz Kick 1,85Br BsDrum2,85BrBsDrum2B,,,,,,Concert BD 1,Wadaiko,Techno Kick 2,TechnoK2,Gender      ,[55]Closed Hi-Hat,KendngWd,KendngWd,Distortion Guitar Cutti,Reverse Kick 1,Reverse TR-707 Kick 1,R SlGtrStkD2,StlGt.SldNz2,R Brth Slow,85St ClsHat 
Side Stick  ,Side Stick,Side Stick  ,,,,,,Side Stick  ,808 Rimshot ,Jngl SD Rim ,909 SDRm,,House SD Rim,,,Side Stick,,,,,,,,Side Stick,TR-808 Rim Shot,Dance SD Rim,CR-78 Rim Shot,CR-78 Rim Shot,TR-707 Rim Shot,TR-909 Rim,,Side Stick  ,Side Stick  ,,,,,,,Side Stick,Side Stick  ,Side Stick  ,,,,,,Side Stick,Wadaiko Rim,Techno KicK 1,TechnoK1,Gender      ,[88]Closed Hi-Hat 2,KendngLn,KendngLn,Bass Slide,Reverse Concert BD1,Reverse TR-909 Kick 1,R Tbone NZ  ,StlGt.SldNz3,R Brth Short,85Rm ClsHat 
85St Snare2 ,Standard 2 Snare 1,85StSnare2B,,,,,,85Rm Snare2 ,LoFi SD 1   ,HipHop SD 1 ,606 SD2,RND RmS1,House SD    ,,,Power Snare 1,,,,,,,,Electric Snare 1,TR-808 Snare 1,Dance SD    ,CR-78 Snare 1,TR-606 Snare 1,TR-707 Snare 1,TR-909 Snare 1,,85Jz Snare1 ,85JzSnare1B,,,,,,,Brush Snare 1,85Br Snare1 ,85BrSnare1B,,,,,,Concert SD,Shime Taiko,Standard 1 Kick 2,Std.1 K2,Gender      ,[88]Closed Hi-Hat 3,Bebarngn,Bebarngn,Pick Scrape,Reverse Power Kick1,Reverse Hip-Hop Kick 1,R Tpet NZ   ,StlGt.SldNz4,R BrthStrong,85Jz ClsHat 
909 HandClap,TR-808 Hand Clap,909 HandClap,,,,,,808clap     ,707 Claps   ,R&B Claps,909 Clap,HandClap,909 Claps   ,,,TR-808 Hand Clap,,,,,,,,TR-808 Hand Clap,TR-808 Hand Clap,Comp Claps 2,TR-707 Hand Clap,TR-707 Hand Clap,TR-707 Hand Clap,Hand Clap,,Hand clap2  ,Hand clap2  ,,,,,,,Brush Slap,85Br Snare2 ,85BrSnare2B,,,,,,Castanets,Atarigane,Standard 1 Kick 1,Std.1 K1,Gender      ,Closed Hi-Hat 4,Pelegngn,Pelegngn,High Q,Reverse Electric Kick1,Reverse Jungle Kick 2,R St BsDrum1,Gt.StrokeNz1,R Woman Brth,85Br ClsHat 
85St Snare1 ,Standard 2 Snare 2,85StSnare1B,,,,,,85Rm Snare1 ,LoFi SD 2   ,Jngl SD     ,Tchno SD,RND RmS2,House SD    ,,,Power Snare 2,,,,,,,,Electric Snare 2,TR-808 Snare 2,Rock SD Dry ,CR-78 Snare 2,TR-606 Snare 2,TR-707 Snare 2,TR-909 Snare2,,85Jz Snare2 ,85JzSnare2B,,,,,,,Brush Snare 2,Brush Swirl ,Brush Swirl ,,,,,,Concert SD,Hyoushigi,[88]Std 1 Kick 1,Std1 K2,Bonang      ,Closed Hi-Hat,Kelontuk,Kelontuk,Slap,Reverse Snare 1,Reverse Techno Kick 2,R St BsDrum2,Gt.StrokeNz2,R Man's Brth,TR-707 HH-c 
85St Tom16  ,Low Tom 2,85StTom16B,,,,,,Room Tom 5  ,85Jz Tom16  ,909 Tom     ,606LTom2,R.LTom 2,909 Tom     ,,,Power Low Tom 2,,,,,,,,Electric Low Tom 2,TR-808 Low Tom 2,Synth Drum 2,CR-78 Low Tom 2,TR-606 Low Tom 2,TR-707 Low Tom 2,TR-909 Low Tom 2,,85Jz Tom16  ,85JzTom16B,,,,,,,Brush Low Tom 2,85Br Tom1   ,85BrTom1B,,,,,,Timpani F,Ohkawa,[88]Std 1 Kick 2,Std1 K1,Bonang      ,TR-707 Closed Hi-Hat,KelntkMt,KelntkMt,Scratch Push,Reverse Snare 2,Reverse TR-606 Snare 2,R Rm BsDrum1,Gt.StrokeNz3,R Voice One ,606 CH      
85St ClsHat ,Closed Hi-Hat 2,85StClsHatB,,,,,,85Rm ClsHat ,Room Chh    ,606 CH      ,707 CHH ,RND RCHH,TR-707 HH-c ,,,Closed Hi-Hat,,,,,,,,Closed Hi-Hat 2,TR-808 Closed Hi-Hat,CR-78 chh   ,CR-78 Closed Hi-Hat,TR-606 Closed Hi-Hat,TR-707 Closed Hi-Hat,TR-707 Closed Hi-Hat ,,85Jz ClsHat ,85JzClsHatB,,,,,,,Brush Closed Hi-Hat,85Br ClsHat ,85BrClsHatB,,,,,,Timpani F#,High Kotsuzumi,[88]Std 2 Kick 1,Brash K2,Bonang      ,TR-606 Closed Hi-Hat,KelntkSd,KelntkSd,Scratch Pull,Reverse Standard 1 SD1,Reverse CR-78 Snare 1,R Rm BsDrum2,Gt.StrokeNz4,R Voice Two ,TR-808 CHH  
85St Tom16  ,Low Tom 1,85StTom16B,,,,,,Room Tom 5  ,85Jz Tom16  ,909 Tom     ,606LTom1,R.LTom 1,909 Tom     ,,,Power Low Tom 1,,,,,,,,Electric Low Tom 1,TR-808 Low Tom 1,Synth Drum 2,CR-78 Low Tom 1,TR-606 Low Tom 1,TR-707 Low Tom 1,TR-909 Low Tom 1,,85Jz Tom16  ,85JzTom16B,,,,,,,Brush Low Tom 1,85Br Tom1   ,85BrTom1B,,,,,,Timpani G,Low Kotsuzumi,[88]Std 2 Kick 2,Brash K1,Bonang      ,[88]TR-808 Closed Hi-H,GongWadn,GongWadn,Sticks,Reverse Sanre Drum 2,Reverse CR-78 Snare 2,R Jz BsDrum1,Gt.StrokeNz5,R VoiceThree,CR-78 chh   
Pedal HiHat2,Pedal Hi-Hat 2,Pedal HiHat2,,,,,,Pedal HiHat ,Pedal HiHat ,Jungle HH  ,CR-78CHH,P.Hi-Hat,CR-78 chh   ,,,Pedal Hi-Hat,,,,,,,,Pedal Hi-Hat 2,TR-808 Closed Hi-Hat 2,808__chh    ,TR-606 Closed Hi-Hat,TR-606 Closed Hi-Hat,TR-707 Closed Hi-Hat,TR-707 Closed Hi-Hat ,,Pedal HiHat ,Pedal HiHat ,,,,,,,Pedal Hi-Hat,Pedal HiHat ,Pedal HiHat ,,,,,,Timpani G#,Ban Gu,[55]Kick Drum 1,Jazz K2,Bonang      ,TR-808 Closed Hi-Hat,GongLang,GongLang,Square Click,Reverse Tight Snare,Reverse Jungle Snare 2,R Jz BsDrum2,Open CD Tray,R Voice Tah ,GS Pedal HH 
